date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2020-08-04,sh.600000,10.4600,10.7200,10.4300,10.6600,10.4100,88522454,937235108.7800,3,0.315000,1,2.401500,5.231198,1.596168,16.649477,0.610225,0
2020-08-05,sh.600000,10.6400,10.6400,10.4500,10.5100,10.6600,46011280,483338972.0200,3,0.163700,1,-1.407100,5.157588,1.573708,16.415197,0.601639,0
2020-08-06,sh.600000,10.5700,10.6300,10.4100,10.5300,10.5100,42484232,445698833.1400,3,0.151200,1,0.190300,5.167402,1.576703,16.446435,0.602784,0
2020-08-07,sh.600000,10.5100,10.5300,10.3600,10.4300,10.5300,44271966,461730420.8800,3,0.157500,1,-0.949700,5.118329,1.561729,16.290248,0.597059,0
2020-08-10,sh.600000,10.4200,10.5700,10.3900,10.5200,10.4300,48973967,514604347.7700,3,0.174300,1,0.862900,5.162495,1.575205,16.430816,0.602211,0
2020-08-11,sh.600000,10.5800,10.6800,10.4500,10.4700,10.5200,63673224,676102351.1700,3,0.226600,1,-0.475300,5.137959,1.567718,16.352723,0.599349,0
2020-08-12,sh.600000,10.4900,10.6000,10.4600,10.5600,10.4700,43268629,455458282.1200,3,0.154000,1,0.859600,5.182124,1.581195,16.493291,0.604501,0
2020-08-13,sh.600000,10.6000,10.6100,10.5000,10.5100,10.5600,25798477,271625415.1200,3,0.091800,1,-0.473500,5.157588,1.573708,16.415197,0.601639,0
2020-08-14,sh.600000,10.5300,10.6000,10.4800,10.5900,10.5100,37584530,396506222.6300,3,0.133700,1,0.761200,5.196846,1.585687,16.540146,0.606218,0
2020-08-17,sh.600000,10.5900,10.9800,10.5700,10.8400,10.5900,98742699,1066482968.3100,3,0.351300,1,2.360700,5.319529,1.623120,16.930613,0.620529,0
2020-08-18,sh.600000,10.8500,10.8500,10.6300,10.6900,10.8400,54091961,580056196.3200,3,0.192500,1,-1.383800,5.245920,1.600660,16.696333,0.611943,0
2020-08-19,sh.600000,10.6900,10.7400,10.5700,10.5800,10.6900,43448106,462151805.4300,3,0.154600,1,-1.029000,5.191939,1.584189,16.524528,0.605646,0
